ID,alive,genomeLength,optimizeValue,score_AVE,score_LIST,timeOfBirth,update
17,1,5000,6.000000,6.000000,"6.000000",-1,0
1006,1,4756,7.000000,7.000000,"7.000000",9,10
2015,1,4706,8.000000,8.000000,"8.000000",19,20
3001,1,4706,8.000000,8.000000,"8.000000",29,30
4039,1,5346,10.000000,10.000000,"10.000000",39,40
5002,1,4290,9.000000,9.000000,"9.000000",49,50
6035,1,4938,10.000000,10.000000,"10.000000",59,60
7001,1,5545,9.000000,9.000000,"9.000000",69,70
8001,1,4193,9.000000,9.000000,"9.000000",79,80
9005,1,4454,9.000000,9.000000,"9.000000",89,90
10007,1,4467,10.000000,10.000000,"10.000000",99,100
